eventId,periodDescriptor,timeInPeriod,timeRemaining,situationCode,homeTeamDefendingSide,typeCode,typeDescKey,sortOrder,details,pptReplayUrl
51,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:00,00:00,,,520,period-start,5,,
52,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:00,00:00,,,502,faceoff,6,"{'eventOwnerTeamId': 5, 'losingPlayerId': 8467514, 'winningPlayerId': 8471215, 'xCoord': 0, 'yCoord': 0}",
5,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:07,00:00,,,516,stoppage,7,{'reason': 'offside'},
53,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:07,00:00,,,502,faceoff,8,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8471215, 'winningPlayerId': 8467514, 'xCoord': 20, 'yCoord': 23}",
54,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:23,00:00,,,506,shot-on-goal,9,"{'xCoord': -57, 'yCoord': 18, 'shotType': 'snap', 'shootingPlayerId': 8470622, 'goalieInNetId': 8470594, 'eventOwnerTeamId': 17, 'awaySOG': 1, 'homeSOG': 0}",
6,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:48,00:00,,,516,stoppage,12,{'reason': 'offside'},
56,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:48,00:00,,,502,faceoff,14,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8460541, 'winningPlayerId': 8460527, 'xCoord': 20, 'yCoord': -21}",
7,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",01:51,00:00,,,525,takeaway,18,"{'xCoord': 69, 'yCoord': 36, 'playerId': 8473409, 'eventOwnerTeamId': 17}",
8,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",01:52,00:00,,,503,hit,19,"{'xCoord': 91, 'yCoord': 37, 'eventOwnerTeamId': 5, 'hittingPlayerId': 8474212, 'hitteePlayerId': 8468090}",
9,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",02:05,00:00,,,516,stoppage,20,{'reason': 'puck-in-benches'},
57,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",02:05,00:00,,,502,faceoff,22,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8471856, 'winningPlayerId': 8472368, 'xCoord': 20, 'yCoord': 23}",
58,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",02:12,00:00,,,506,shot-on-goal,24,"{'xCoord': -57, 'yCoord': 32, 'shotType': 'wrist', 'shootingPlayerId': 8473569, 'goalieInNetId': 8470594, 'eventOwnerTeamId': 17, 'awaySOG': 2, 'homeSOG': 0}",
59,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:00,00:00,,,508,blocked-shot,34,"{'xCoord': -55, 'yCoord': -3, 'blockingPlayerId': 8476476, 'shootingPlayerId': 8470201, 'eventOwnerTeamId': 17}",
60,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:08,00:00,,,507,missed-shot,37,"{'xCoord': -57, 'yCoord': -25, 'reason': 'wide-of-net', 'shootingPlayerId': 8470201, 'goalieInNetId': 8475097, 'eventOwnerTeamId': 17}",
10,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:31,00:00,,,503,hit,39,"{'xCoord': 98, 'yCoord': 17, 'eventOwnerTeamId': 5, 'hittingPlayerId': 8465025, 'hitteePlayerId': 8468090}",
11,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:39,00:00,,,516,stoppage,40,{'reason': 'hand-pass'},
61,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:39,00:00,,,502,faceoff,42,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8474212, 'winningPlayerId': 8473558, 'xCoord': 20, 'yCoord': -22}",
12,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:59,00:00,,,503,hit,44,"{'xCoord': 98, 'yCoord': -21, 'eventOwnerTeamId': 17, 'hittingPlayerId': 8467915, 'hitteePlayerId': 8476200}",
13,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",05:19,00:00,,,509,penalty,45,"{'xCoord': 98, 'yCoord': 18, 'typeCode': 'MIN', 'descKey': 'boarding', 'duration': 2, 'committedByPlayerId': 8474212, 'drawnByPlayerId': 8474090, 'eventOwnerTeamId': 5}",
62,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",05:19,00:00,,,502,faceoff,48,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8471856, 'winningPlayerId': 8467514, 'xCoord': -69, 'yCoord': -22}",
15,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",06:19,00:00,,,504,giveaway,53,"{'xCoord': -88, 'yCoord': -25, 'eventOwnerTeamId': 17, 'playerId': 8467514}",
16,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:01,00:00,,,525,takeaway,57,"{'xCoord': -42, 'yCoord': 29, 'playerId': 8470543, 'eventOwnerTeamId': 5}",
17,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:13,00:00,,,516,stoppage,60,{'reason': 'puck-in-crowd'},
63,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:13,00:00,,,502,faceoff,62,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8471215, 'winningPlayerId': 8460527, 'xCoord': 20, 'yCoord': -22}",
18,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:29,00:00,,,503,hit,66,"{'xCoord': -98, 'yCoord': 19, 'eventOwnerTeamId': 17, 'hittingPlayerId': 8460527, 'hitteePlayerId': 8471702}",
19,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:38,00:00,,,504,giveaway,67,"{'xCoord': -62, 'yCoord': -35, 'eventOwnerTeamId': 5, 'playerId': 8471702}",
20,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:46,00:00,,,516,stoppage,68,{'reason': 'offside'},
64,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:46,00:00,,,502,faceoff,69,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8471215, 'winningPlayerId': 8467514, 'xCoord': 20, 'yCoord': -22}",
21,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",08:04,00:00,,,516,stoppage,72,{'reason': 'puck-in-netting'},
65,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",08:04,00:00,,,502,faceoff,74,"{'eventOwnerTeamId': 5, 'losingPlayerId': 8472368, 'winningPlayerId': 8470065, 'xCoord': -68, 'yCoord': 22}",
22,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",08:27,00:00,,,503,hit,76,"{'xCoord': -84, 'yCoord': -40, 'eventOwnerTeamId': 17, 'hittingPlayerId': 8472368, 'hitteePlayerId': 8471724}",
23,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",08:39,00:00,,,503,hit,78,"{'xCoord': 98, 'yCoord': 12, 'eventOwnerTeamId': 5, 'hittingPlayerId': 8476200, 'hitteePlayerId': 8467915}",
66,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",08:54,00:00,,,506,shot-on-goal,80,"{'xCoord': 54, 'yCoord': -29, 'shotType': 'slap', 'shootingPlayerId': 8470644, 'goalieInNetId': 8470657, 'eventOwnerTeamId': 5, 'awaySOG': 2, 'homeSOG': 1}",
24,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",09:04,00:00,,,504,giveaway,84,"{'xCoord': 95, 'yCoord': 1, 'eventOwnerTeamId': 17, 'playerId': 8474090}",
25,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",09:15,00:00,,,503,hit,85,"{'xCoord': 99, 'yCoord': -7, 'eventOwnerTeamId': 5, 'hittingPlayerId': 8471856, 'hitteePlayerId': 8474090}",
67,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",09:30,00:00,,,506,shot-on-goal,87,"{'xCoord': -84, 'yCoord': 20, 'shotType': 'wrist', 'shootingPlayerId': 8473558, 'goalieInNetId': 8470594, 'eventOwnerTeamId': 17, 'awaySOG': 3, 'homeSOG': 1}",
26,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",09:38,00:00,,,503,hit,88,"{'xCoord': -28, 'yCoord': 40, 'eventOwnerTeamId': 17, 'hittingPlayerId': 8468509, 'hitteePlayerId': 8470644}",
68,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",09:42,00:00,,,506,shot-on-goal,90,"{'xCoord': -78, 'yCoord': 9, 'shotType': 'backhand', 'shootingPlayerId': 8470778, 'goalieInNetId': 8470594, 'eventOwnerTeamId': 17, 'awaySOG': 4, 'homeSOG': 1}",
69,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",10:01,00:00,,,506,shot-on-goal,91,"{'xCoord': -33, 'yCoord': -1, 'shotType': 'slap', 'shootingPlayerId': 8473409, 'goalieInNetId': 8470594, 'eventOwnerTeamId': 17, 'awaySOG': 5, 'homeSOG': 1}",
27,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",09:56,00:00,,,503,hit,92,"{'xCoord': -30, 'yCoord': -39, 'eventOwnerTeamId': 5, 'hittingPlayerId': 8466393, 'hitteePlayerId': 8468509}",
28,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",10:25,00:00,,,503,hit,96,"{'xCoord': -97, 'yCoord': -4, 'eventOwnerTeamId': 17, 'hittingPlayerId': 8474552, 'hitteePlayerId': 8473539}",
29,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",10:46,00:00,,,503,hit,101,"{'xCoord': -90, 'yCoord': 39, 'eventOwnerTeamId': 17, 'hittingPlayerId': 8474552, 'hitteePlayerId': 8468542}",
30,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",11:04,00:00,,,516,stoppage,103,{'reason': 'puck-in-benches'},
70,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",11:04,00:00,,,502,faceoff,104,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8471215, 'winningPlayerId': 8467514, 'xCoord': 69, 'yCoord': 22}",
71,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",11:40,00:00,,,505,goal,106,"{'xCoord': 80, 'yCoord': 9, 'shotType': 'wrist', 'scoringPlayerId': 8470543, 'scoringPlayerTotal': 1, 'assist1PlayerId': 8471215, 'assist1PlayerTotal': 1, 'eventOwnerTeamId': 5, 'goalieInNetId': 8470657, 'awayScore': 0, 'homeScore': 1}",
72,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",11:40,00:00,,,502,faceoff,109,"{'eventOwnerTeamId': 5, 'losingPlayerId': 8472368, 'winningPlayerId': 8470065, 'xCoord': 0, 'yCoord': 1}",
31,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",12:07,00:00,,,516,stoppage,110,{'reason': 'offside'},
73,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",12:07,00:00,,,502,faceoff,112,"{'eventOwnerTeamId': 5, 'losingPlayerId': 8470778, 'winningPlayerId': 8471856, 'xCoord': 20, 'yCoord': -21}",
74,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",12:40,00:00,,,507,missed-shot,114,"{'xCoord': -34, 'yCoord': -6, 'reason': 'wide-of-net', 'shootingPlayerId': 8468090, 'goalieInNetId': 8475097, 'eventOwnerTeamId': 17}",
32,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",12:46,00:00,,,503,hit,115,"{'xCoord': 3, 'yCoord': 39, 'eventOwnerTeamId': 17, 'hittingPlayerId': 8473409, 'hitteePlayerId': 8476207}",
75,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",13:20,00:00,,,507,missed-shot,119,"{'xCoord': -64, 'yCoord': -29, 'reason': 'goalpost', 'shootingPlayerId': 8470201, 'goalieInNetId': 8475097, 'eventOwnerTeamId': 17}",
76,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",13:40,00:00,,,506,shot-on-goal,123,"{'xCoord': 88, 'yCoord': 8, 'shotType': 'wrist', 'shootingPlayerId': 8465025, 'goalieInNetId': 8470657, 'eventOwnerTeamId': 5, 'awaySOG': 5, 'homeSOG': 2}",
77,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",13:54,00:00,,,505,goal,126,"{'xCoord': -58, 'yCoord': -7, 'shotType': 'wrist', 'scoringPlayerId': 8468509, 'scoringPlayerTotal': 1, 'assist1PlayerId': 8467514, 'assist1PlayerTotal': 1, 'assist2PlayerId': 8467331, 'assist2PlayerTotal': 1, 'eventOwnerTeamId': 17, 'goalieInNetId': 8470594, 'awayScore': 1, 'homeScore': 1}",
33,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",13:46,00:00,,,503,hit,127,"{'xCoord': 86, 'yCoord': 40, 'eventOwnerTeamId': 17, 'hittingPlayerId': 8467331, 'hitteePlayerId': 8466393}",
78,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",13:54,00:00,,,502,faceoff,129,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8471215, 'winningPlayerId': 8460527, 'xCoord': 0, 'yCoord': 0}",
34,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",14:06,00:00,,,516,stoppage,131,{'reason': 'net-off'},
79,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",14:05,00:00,,,506,shot-on-goal,132,"{'xCoord': -81, 'yCoord': -5, 'shotType': 'backhand', 'shootingPlayerId': 8470778, 'goalieInNetId': 8470594, 'eventOwnerTeamId': 17, 'awaySOG': 6, 'homeSOG': 2}",
80,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",14:06,00:00,,,502,faceoff,134,"{'eventOwnerTeamId': 17, 'losingPlayerId': 8471215, 'winningPlayerId': 8467514, 'xCoord': -19, 'yCoord': -22}",
35,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",14:16,00:00,,,503,hit,135,"{'xCoord': -92, 'yCoord': -38, 'eventOwnerTeamId': 5, 'hittingPlayerId': 8471707, 'hitteePlayerId': 8466149}",
81,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",14:37,00:00,,,507,missed-shot,136,"{'xCoord': -46, 'yCoord': 34, 'reason': 'wide-of-net', 'shootingPlayerId': 8470622, 'goalieInNetId': 8475097, 'eventOwnerTeamId': 17}",
82,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",14:43,00:00,,,508,blocked-shot,137,"{'xCoord': -58, 'yCoord': -8, 'blockingPlayerId': 8473539, 'shootingPlayerId': 8467331, 'eventOwnerTeamId': 17}",
36,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",14:55,00:00,,,525,takeaway,140,"{'xCoord': 43, 'yCoord': -22, 'playerId': 8467514, 'eventOwnerTeamId': 17}",
83,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",15:30,00:00,,,507,missed-shot,144,"{'xCoord': -72, 'yCoord': -3, 'reason': 'wide-of-net', 'shootingPlayerId': 8475193, 'goalieInNetId': 8475097, 'eventOwnerTeamId': 17}",
37,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",15:38,00:00,,,503,hit,145,"{'xCoord': -24, 'yCoord': -40, 'eventOwnerTeamId': 5, 'hittingPlayerId': 8470065, 'hitteePlayerId': 8468090}",
84,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",16:06,00:00,,,506,shot-on-goal,148,"{'xCoord': 80, 'yCoord': -5, 'shotType': 'wrist', 'shootingPlayerId': 8470644, 'goalieInNetId': 8470657, 'eventOwnerTeamId': 5, 'awaySOG': 6, 'homeSOG': 3}",
38,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",16:15,00:00,,,508,blocked-shot,150,"{'xCoord': 66, 'yCoord': 12, 'blockingPlayerId': 8473558, 'shootingPlayerId': 8476476, 'eventOwnerTeamId': 5}",
