"","PlayerId","yr","TmAbbrev","G","A","Hits","Blocked","Missed","SOG","Wrist","Snap","Tip","Back","Slap","Deflected"
"745","8474164","2014","MIN",0,1,1,2,1,3,1,1,0,0,1,0
"746","8475761","2014","PIT",4,6,60,11,26,60,44,4,2,2,7,1
"747","8474137","2014","MTL",0,0,3,0,1,0,0,0,0,0,0,0
"748","8475906","2014","DAL",11,27,50,72,34,83,54,6,0,1,22,0
"749","8476214","2014","VAN",0,0,0,0,1,2,0,0,0,1,0,0
"750","8476482","2014","VAN",0,0,6,4,0,6,4,1,0,0,1,0
"751","8475147","2014","MIN",3,5,25,6,13,46,29,8,0,6,2,1
"752","8471388","2014","BUF",0,2,82,25,3,23,16,2,0,2,3,0
"753","8473571","2014","LAK",2,6,19,27,19,14,8,1,0,0,5,0
"754","8474772","2014","MIN",0,1,8,9,1,3,0,2,0,0,1,0
"755","8467332","2014","ANA",0,1,11,7,3,3,2,0,0,0,1,0
"756","8475807","2014","CHI",0,3,70,21,21,41,21,10,0,3,5,0
"757","8475151","2014","ANA",13,16,114,32,62,124,44,18,8,20,25,1
"758","8477234","2014","SJS",0,0,0,0,0,0,0,0,0,0,0,0
"759","8460705","2014","TBL",0,1,0,0,0,0,0,0,0,0,0,0
"760","8476872","2014","PHI",2,3,50,10,13,42,14,10,3,8,4,1
"761","8473911","2014","EDM",2,1,31,2,1,12,5,2,1,1,3,0
"762","8475852","2014","DET",0,0,0,0,0,0,0,0,0,0,0,0
"763","8476443","2014","DET",0,1,9,12,13,17,4,4,0,1,7,0
"764","8476431","2014","CHI",1,2,9,17,12,15,8,2,0,0,5,0
"765","8470018","2014","BUF",1,1,9,14,6,22,12,4,0,3,2,0
"766","8476435","2014","BOS",0,0,0,0,0,1,1,0,0,0,0,0
"767","8477228","2014","BOS",0,0,2,0,1,3,0,1,0,1,1,0
"768","8476043","2014","COL",0,0,2,0,1,4,3,0,0,0,1,0
"769","8475266","2014","COL",0,1,5,4,3,2,2,0,0,0,0,0
"770","8475461","2014","COL",0,1,1,0,1,1,1,0,0,0,0,0
"771","8476479","2014","CHI",0,0,3,0,1,2,2,0,0,0,0,0
"772","8471761","2014","STL",3,6,29,32,10,49,23,5,0,2,19,0
"773","8475162","2014","ANA",0,1,8,5,1,1,0,0,0,0,1,0
"774","8476451","2014","ARI",2,3,52,6,9,38,21,7,2,4,3,0
"775","8477956","2014","BOS",8,15,18,10,33,66,38,8,2,5,12,0
"776","8477126","2014","PIT",0,1,40,8,4,13,8,3,0,1,0,0
"777","8473989","2014","EDM",2,1,73,14,11,21,13,2,3,1,2,0
"778","8474008","2014","COL",0,1,12,2,6,5,5,0,0,0,0,0
"779","8472394","2014","NJD",2,2,34,30,14,25,12,7,0,0,6,0
"780","8475260","2014","CGY",0,0,0,0,1,2,1,0,0,0,1,0
"781","8474519","2014","WSH",0,5,34,47,11,22,12,2,0,1,7,0
"782","8474661","2014","CAR",2,4,32,56,8,37,18,6,0,3,10,0
"783","8471266","2014","TOR",7,5,76,6,34,85,37,22,4,14,6,1
"784","8473560","2014","TOR",0,5,97,39,10,27,8,6,0,0,12,0
"785","8474889","2014","LAK",0,1,0,0,0,0,0,0,0,0,0,0
"786","8476798","2014","COL",0,0,21,20,2,8,2,2,0,1,3,0
"787","8476807","2014","SJS",1,6,45,28,24,33,16,2,1,0,14,0
"788","8467370","2014","NSH",15,17,115,56,39,82,45,16,4,8,6,1
"789","8475203","2014","ANA",0,0,1,1,0,0,0,0,0,0,0,0
"790","8474025","2014","MTL",0,0,9,3,1,3,2,0,0,1,0,0
"791","8474659","2014","NYI",0,3,17,14,11,11,3,1,0,1,6,0
"792","8473682","2014","PIT",1,4,9,11,5,18,13,1,1,0,3,0
"793","8477510","2014","CBJ",0,1,5,2,2,3,1,0,0,0,2,0
"794","8471403","2014","CGY",0,0,0,0,0,0,0,0,0,0,0,0
"795","8475996","2014","ARI",0,1,9,3,5,7,6,0,0,0,1,0
"796","8471219","2014","FLA",0,0,0,0,0,0,0,0,0,0,0,0
"797","8475958","2014","COL",0,1,0,1,1,2,2,0,0,0,0,0
"798","8476536","2014","COL",0,0,1,0,0,1,0,0,0,1,0,0
"799","8475752","2014","EDM",2,0,46,15,12,16,6,6,0,4,0,0
"800","8467351","2014","NJD",6,25,22,13,20,55,25,17,1,5,7,0
"801","8477293","2014","CHI",0,0,0,0,0,0,0,0,0,0,0,0
"802","8475279","2014","WPG",2,5,66,48,16,31,16,3,0,2,10,0
"803","8475208","2014","PIT",1,0,8,12,3,9,2,0,0,2,4,0
"804","8473546","2014","NYI",8,6,57,16,26,47,22,11,1,7,3,2
"805","8470760","2014","OTT",1,10,107,79,16,48,25,6,0,1,15,0
"806","8475680","2014","DAL",0,0,0,0,0,0,0,0,0,0,0,0
"807","8455710","2014","STL",0,0,0,0,0,0,0,0,0,0,0,0
"808","8476403","2014","CHI",1,3,62,42,16,17,6,2,1,1,7,0
"809","8477413","2014","MTL",2,1,5,4,1,8,3,1,3,0,1,0
"810","8474638","2014","ARI",0,0,54,47,13,26,13,2,1,0,10,0
"811","8476921","2014","ARI",0,1,14,2,12,8,4,1,0,3,0,0
"812","8471273","2014","CBJ",11,21,133,10,24,74,40,8,2,11,6,3
"813","8477916","2014","COL",1,1,17,3,1,5,1,2,0,1,1,0
"814","8477922","2014","SJS",13,11,45,23,36,75,37,7,11,8,8,4
"815","8475869","2014","EDM",1,0,18,22,7,6,2,1,0,1,2,0
"816","8474152","2014","CHI",0,0,0,0,0,0,0,0,0,0,0,0
"817","8471474","2014","DAL",0,0,2,0,4,8,4,1,0,0,3,0
"818","8476769","2014","PIT",0,0,24,2,4,6,4,2,0,0,0,0
"819","8475810","2014","PIT",1,1,18,3,4,32,20,2,2,5,3,0
"820","8476883","2014","TBL",0,0,0,0,0,0,0,0,0,0,0,0
"821","8475826","2014","CAR",0,0,3,0,1,3,0,1,0,1,1,0
"822","8476888","2014","BUF",3,3,28,14,9,31,13,6,4,5,3,0
"823","8471840","2014","MIN",0,3,16,1,2,6,4,0,0,1,0,0
"824","8476419","2014","OTT",9,9,168,31,23,86,50,7,4,14,10,0
"825","8476449","2014","PIT",0,0,10,8,3,8,5,1,0,0,2,0
"826","8468524","2014","ANA",0,2,0,0,0,0,0,0,0,0,0,0
"827","8471326","2014","COL",0,0,2,0,0,0,0,0,0,0,0,0
"828","8471636","2014","NJD",0,2,18,3,3,9,2,3,2,1,0,0
"829","8476884","2014","PIT",2,3,12,19,15,44,22,6,3,1,12,0
"830","8477213","2014","BUF",1,0,31,7,2,12,5,2,0,3,1,0
"831","8475796","2014","BUF",2,1,1,9,2,1,1,0,0,0,0,0
"832","8467972","2014","PHI",0,0,0,0,0,0,0,0,0,0,0,0
"833","8476469","2014","BUF",0,0,4,0,0,0,0,0,0,0,0,0
"834","8476339","2014","PIT",0,0,2,1,0,0,0,0,0,0,0,0
"835","8471710","2014","PIT",0,0,7,6,9,7,4,2,0,0,1,0
"836","8473553","2014","PIT",0,0,0,0,0,0,0,0,0,0,0,0
"837","8476944","2014","CAR",0,0,1,0,0,2,1,0,0,0,1,0
"838","8474202","2014","MIN",0,0,0,0,0,0,0,0,0,0,0,0
"839","8474230","2014","SJS",0,0,6,1,0,1,1,0,0,0,0,0
"840","8476384","2014","ANA",0,0,2,0,0,0,0,0,0,0,0,0
"841","8476227","2014","NJD",1,0,5,0,0,0,0,0,0,0,0,0
"842","8473533","2014","CAR",4,14,69,11,35,70,27,23,8,6,4,1
"843","8476344","2014","MIN",0,0,0,2,1,4,2,0,0,1,1,0
"844","8471240","2014","LAK",0,0,8,5,2,4,1,0,0,0,3,0
"845","8477715","2014","ARI",0,0,2,1,0,1,1,0,0,0,0,0
"846","8476300","2014","TBL",3,9,54,23,22,49,16,3,0,3,27,0
"847","8476439","2014","DAL",6,3,79,5,26,66,36,8,6,11,2,2
"848","8470839","2014","FLA",0,1,22,8,0,3,0,0,0,0,3,0
"849","8475735","2014","TOR",0,0,3,2,0,1,0,0,0,0,0,0
"850","8470662","2014","STL",0,0,1,1,0,1,1,0,0,0,0,0
"851","8471748","2014","NJD",0,4,81,46,13,18,11,6,0,0,1,0
"852","8476882","2014","CHI",8,11,14,14,21,82,65,2,0,3,12,0
"853","8475165","2014","EDM",5,12,46,8,12,41,24,5,4,4,2,2
"854","8475567","2014","WPG",0,0,1,1,0,0,0,0,0,0,0,0
"855","8475321","2014","BUF",3,2,28,16,4,23,14,2,4,1,1,1
"856","8475878","2014","SJS",1,0,23,3,3,10,7,1,0,1,1,0
"857","8476447","2014","NSH",1,0,7,1,0,3,1,0,0,2,0,0
"858","8475660","2014","NYR",0,0,0,0,0,0,0,0,0,0,0,0
"859","8470867","2014","TOR",0,0,4,0,0,1,0,1,0,0,0,0
"860","8475749","2014","MTL",1,0,7,3,7,19,12,0,1,0,4,1
"861","8475800","2014","DET",4,3,3,2,22,54,22,6,0,1,23,2
"862","8476302","2014","VAN",1,0,15,12,5,7,2,0,0,0,4,1
"863","8475299","2014","CGY",0,0,0,0,0,0,0,0,0,0,0,0
"864","8474610","2014","BUF",1,2,14,8,6,28,18,1,3,4,1,1
"865","8475213","2014","CGY",1,2,11,4,2,12,10,1,0,1,0,0
"866","8475194","2014","ARI",0,0,0,3,0,4,2,0,0,0,2,0
"867","8476981","2014","CBJ",0,1,24,2,3,10,2,1,1,3,2,0
"868","8474682","2014","MTL",0,1,0,0,0,0,0,0,0,0,0,0
"869","8475868","2014","NSH",0,0,8,3,1,1,0,0,0,0,1,0
"870","8476992","2014","NSH",0,0,0,0,0,0,0,0,0,0,0,0
"871","8474591","2014","DET",0,0,0,0,0,0,0,0,0,0,0,0
"872","8476406","2014","LAK",1,6,49,14,15,29,12,5,1,5,5,0
